id,name_ch,name,match_title,match_url,midi_url
399,你怎沒有傷痕, Hast Thou No Scar?,Hast thou no scar,https://www.hymnal.net/en/hymn/h/629,https://www.hymnal.net/Hymns/Hymnal/midi/e0629_i.mid
406,我主你說你是真樹, Thou Hast Said Thou Art The Vine,"Thou hast said Thou art the Vine, Lord",https://www.hymnal.net/en/hymn/h/561,https://www.hymnal.net/Hymns/Hymnal/midi/e0561_i.mid
408,時時刻刻, Moment By Moment,Moment By Moment,https://www.hymnal.net/en/hymn/h/486,https://www.hymnal.net/Hymns/Hymnal/midi/e0486_i.mid
411,耶穌我今歡然安息," Jesus! I Am Resting, Resting","Jesus! I am resting, resting",https://www.hymnal.net/en/hymn/h/579,https://www.hymnal.net/Hymns/Hymnal/midi/e0579_i.mid
412,求主啟示主自己," Lord, Reveal Thyself To Me","Lord, reveal Thyself to me",https://www.hymnal.net/en/hymn/h/412,https://www.hymnal.net/Hymns/Hymnal/midi/e0412_i.mid
413,當我憑著自己思想, When I Am In The Natural Man,When I am in the natural man,https://www.hymnal.net/en/hymn/h/430,https://www.hymnal.net/Hymns/Hymnal/midi/e0430_i.mid
421,主你啟示一個奧祕," Lord, Thou Hast Shown The Mystery","Lord, Thou hast shown the mystery",https://www.hymnal.net/en/hymn/h/488,https://www.hymnal.net/Hymns/Hymnal/midi/e0488_i.mid
422,主你知道所有乾渴," Lord, Thou Knowest All The Hunger","Lord, Thou knowest all the hunger",https://www.hymnal.net/en/hymn/h/283,https://www.hymnal.net/Hymns/Hymnal/midi/e0259_i.mid
424,你是平靜祕密之源, Thou Hidden Source Of Calm Repose,Thou hidden source of calm repose,https://www.hymnal.net/en/hymn/h/532,https://www.hymnal.net/Hymns/Hymnal/midi/e0532_i.mid
428,基督就是我的世界, Jesus Is All The World To Me,Jesus is all the world to me,https://www.hymnal.net/en/hymn/h/530,https://www.hymnal.net/Hymns/Hymnal/midi/e0530_i.mid
429,祂不誤事因祂是神," He Faileth Not, For He Is God","He faileth not, for He is God",https://www.hymnal.net/en/hymn/h/693,https://www.hymnal.net/Hymns/Hymnal/midi/e0693_i.mid
430,再唱信心的歌, Keep Up The Song Of Faith,Keep up the song of faith,https://www.hymnal.net/en/hymn/h/778,https://www.hymnal.net/Hymns/Hymnal/midi/e0778_i.mid
434,信靠耶穌何其甘甜, Tis So Sweet To Trust In Jesus,Tis so sweet to trust in Jesus,https://www.hymnal.net/en/hymn/h/568,https://www.hymnal.net/Hymns/Hymnal/midi/e0437_i.mid
443,前途如何我不知, I Know Not What Awaits Me,I know not what awaits me,https://www.hymnal.net/en/hymn/h/711,https://www.hymnal.net/Hymns/Hymnal/midi/e0711_i.mid
449,緊握我手, Hold Thou My Hand,"Hold Thou my hand: so weak I am, and helpless",https://www.hymnal.net/en/hymn/h/388,https://www.hymnal.net/Hymns/Hymnal/midi/e0388_i.mid
451,無你我就無法想, I Could Not Do Without Thee,I could not do without Thee,https://www.hymnal.net/en/hymn/h/8421,https://www.hymnal.net/Hymns/Hymnal/midi/e0465_i.mid
452,你信實何廣大, Great Is Thy Faithfulness,Great is Thy faithfulness,https://www.hymnal.net/en/hymn/h/19,https://www.hymnal.net/Hymns/Hymnal/midi/e0019_i.mid
457,我是一個異鄉旅客, I'm A Pilgrim And A Stranger,I'm a pilgrim and a stranger,https://www.hymnal.net/en/hymn/h/8512,https://www.hymnal.net/Hymns/Hymnal/midi/e8512_i.mid
